"V1" "V2" "V3" "V4" "V5" "V6"
"SV58" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Megamonas"
"SV59" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Faecalibacterium"
"SV60" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV61" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" "Citrobacter"
"SV62" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV63" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus"
"SV64" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV65" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV66" "Bacteria" "Actinobacteria" "Actinobacteria" "Corynebacteriales" "Nocardiaceae" "Rhodococcus"
"SV67" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV68" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas"
"SV69" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA
"SV70" "Bacteria" "Actinobacteria" "Coriobacteriia" "Coriobacteriales" "Coriobacteriaceae" NA
"SV71" "Bacteria" "Actinobacteria" "Actinobacteria" "Kineosporiales" "Kineosporiaceae" "Kineosporia"
"SV72" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Actinomycetaceae" NA
"SV73" "Bacteria" "Actinobacteria" "Actinobacteria" "Bifidobacteriales" "Bifidobacteriaceae" NA
"SV74" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Halomonadaceae" "Halomonas"
"SV75" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA
"SV76" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Pseudoalteromonadaceae" "Pseudoalteromonas"
"SV77" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Ercella"
"SV78" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Subdoligranulum"
"SV79" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV80" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV81" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Enterococcaceae" "Enterococcus"
"SV82" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Solobacterium"
"SV83" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV84" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" NA
"SV85" "Bacteria" "Synergistetes" "Synergistia" "Synergistales" "Synergistaceae" "Jonquetella"
"SV86" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Subdoligranulum"
"SV87" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Dialister"
"SV88" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pasteurellales" "Pasteurellaceae" NA
"SV89" "Bacteria" "Actinobacteria" "Acidimicrobiia" "Acidimicrobiales" "Acidimicrobiaceae" "Ilumatobacter"
"SV90" "Bacteria" "Actinobacteria" NA NA NA NA
