Bird,Sheet,Date,Time,Observer_code,SiteCode,Flock_size,No. Checked,Associates,API,UNR:API,Res Order,Comments
47BY,,14/05/2017,19:40,"TH, JS",R6B,,,LABY,,,,
LABY,,14/05/2017,19:40,"TH, JS",R6B,,,47BY,,,,
6IBY,,14/05/2017,19:40,"TH, JS",R6B,,,unringed,,,,
NXBY,,14/05/2017,19:40,"TH, JS",R6B,,,unringed,,,,2 juveniles
HZBY,,14/05/2017,19:40,"TH, JS",R6B,,,VXBY,5,,,1 juvenile
VXBY,,14/05/2017,19:40,"TH, JS",R6B,,,HZBY,,5,,1 juvenile
F3WR,,14/05/2017,19:40,"TH, JS",R6B,,,unringed,,,,
H3WR,,14/05/2017,19:40,"TH, JS",R6B,,,unringed,,,,
NXBY,,14/05/2017,19:40,"TH, JS",R6B,,,,,,,
T2BY,,14/05/2017,19:54,"TH, JS",R6A,14,,D2BY,,,,1 juvenile
D2BY,,14/05/2017,19:54,"TH, JS",R6A,14,,T2BY,,,,1 juvenile
2JWR,,14/05/2017,19:54,"TH, JS",R6A,14,,,,,,
2DBY,,14/05/2017,19:54,"TH, JS",R6A,14,,2ZBY,,,,
2ZBY,,14/05/2017,19:54,"TH, JS",R6A,14,,2DBY,,,,
DPON,,14/05/2017,19:54,"TH, JS",R6A,14,,CAON,2.5,3,,
CAON,,14/05/2017,19:54,"TH, JS",R6A,14,,DPON,3,2.5,,
2CWR,,14/05/2017,19:54,"TH, JS",R6A,14,,,,,,1 juvenile
ICBY,,14/05/2017,19:54,"TH, JS",R6A,14,,,,,,
43WB,,14/05/2017,19:54,"TH, JS",R6A,14,,,,,,
D2LY,,14/05/2017,19:54,"TH, JS",R6A,14,,,,,,
9NBY,,14/05/2017,20:26,"TH, JS",R5,40,,,4,,,
AXRR,,15/05/2017,,"TH, JS",R6B,,,,4,,,
KXBY,,15/05/2017,,"TH, JS",R6B,,,,,,,
24WB,,15/05/2017,,"TH, JS",R6B,,,32WB,4.5,5.5,,
V9BY,,15/05/2017,,"TH, JS",R6B,,,,2.5,,,is a juvenile with unringed parents
37BY,,15/05/2017,,"TH, JS",R6B,,,ZABY,,3.5,,
ZABY,,15/05/2017,,"TH, JS",R6B,,,37BY,3.5,,,
32WB,,15/05/2017,,"TH, JS",R6B,,,24WB,5.5,4.5,,
FUON,,15/05/2017,,"TH, JS",R6B,,,unringed,,,,
FLON,,15/05/2017,,"TH, JS",R6A,,,,,,,collared (115)
CFBY,,15/05/2017,08:12,"TH, JS",R27,,,unringed,,,,
JUBY,,15/05/2017,08:32,"TH, JS",R29,140,,FVBY,4.5,4,,
FVBY,,15/05/2017,08:32,"TH, JS",R29,140,,JUBY,4,4.5,,
63BY,,15/05/2017,08:32,"TH, JS",R29,140,,,,,,
#NAME?,,15/05/2017,08:32,"TH, JS",R29,140,,,,,,
XXBY,,15/05/2017,08:32,"TH, JS",R29,140,,CZBY,4,,,
CZBY,,15/05/2017,08:32,"TH, JS",R29,140,,XXBY,,4,,
43WB,,15/05/2017,09:18,"TH, JS",R25,110,,26WB,4.5,4.5,,
26WB,,15/05/2017,09:18,"TH, JS",R25,110,,43WB,4.5,4.5,,
7TRB,,15/05/2017,09:18,"TH, JS",R25,110,,,4.5,,,
43BY,,15/05/2017,09:18,"TH, JS",R25,110,,,,,,is a juvenile
IBBY,,15/05/2017,09:18,"TH, JS",R25,110,,SBBY,,,,
VHWB,,15/05/2017,09:18,"TH, JS",R25,110,,,3.5,,,
SBBY,,15/05/2017,09:18,"TH, JS",R25,110,,IBBY,,,,
2JWR,,15/05/2017,09:18,"TH, JS",R25,110,,unringed,,,,
7IBY,,15/05/2017,09:18,"TH, JS",R25,110,,,,,,
H6WR,,15/05/2017,09:41,"TH, JS",R29,120,,unringed,4.5,,,1 juvenile
6PBY,,15/05/2017,09:41,"TH, JS",R29,120,,6DBY,4.5,4.5,,
6DBY,,15/05/2017,09:41,"TH, JS",R29,120,,6PBY,4.5,4.5,,
7LRR,,15/05/2017,09:41,"TH, JS",R29,120,,,,,,
X6RR,,15/05/2017,09:41,"TH, JS",R29,120,,unringed,,,,
TZLY,,15/05/2017,09:41,"TH, JS",R29,120,,unringed,,,,
TVRY,,15/05/2017,10:07,"TH, JS",G7,27,,mXmY,5,4.5,,4 juveniles
mXmY,,15/05/2017,10:07,"TH, JS",G7,27,,TVRY,4.5,5,,4 juveniles
mPmY,,15/05/2017,10:07,"TH, JS",G7,27,,unringed,4.5,,,
BNRR,,15/05/2017,10:07,"TH, JS",G7,27,,PURR,,4,,
PURR,,15/05/2017,10:07,"TH, JS",G7,27,,BNRR,4,,,
PXRY,,15/05/2017,10:07,"TH, JS",G7,27,,unringed,4.5,,,
XLWR,,15/05/2017,10:07,"TH, JS",G7,27,,XZWR,,,,
XZWR,,15/05/2017,10:07,"TH, JS",G7,27,,XLWR,,,,
IZWW,,15/05/2017,14:23,"TH, JS",G7,14,,,,,,
UBRY,,15/05/2017,14:37,"TH, JS",G2,7,,unringed,3,,,
H6BY,,15/05/2017,15:08,"TH, JS",R16,16,,,,,,is a juvenile 
66BY,,15/05/2017,15:08,"TH, JS",R16,7,,unringed,,,,
43BY,,15/05/2017,15:35,"TH, JS",R6A,20,,,4,,,juvenile of 7ABY & UHWB
SBBY,,15/05/2017,15:35,"TH, JS",R6A,20,,IBBY,,,,
IBBY,,15/05/2017,15:35,"TH, JS",R6A,20,,SBBY,,,,
DKBY,,15/05/2017,15:35,"TH, JS",R6A,20,,,3.5,,,juvenile of 7ABY & UHWB
7ABY,,15/05/2017,15:35,"TH, JS",R6A,20,,UHWB,4.5,,,4 juveniles
UHWB,,15/05/2017,15:35,"TH, JS",R6A,20,,7ABY,,4.5,,4 juveniles
J9BY,,15/05/2017,15:35,"TH, JS",R6A,20,,P9BY,,5,,2 juveniles
P9BY,,15/05/2017,15:35,"TH, JS",R6A,20,,J9BY,5,,,2 juveniles
S9BY,,15/05/2017,15:35,"TH, JS",R6A,20,,,,,,juvenile of J9BY & P9BY
CCRY,,15/05/2017,16:08,"TH, JS",R16,2,,unringed,5.5,,,
36BY,,15/05/2017,20:30,"TH, JS",R17,,,unringed,4.5,,,
4IBY,,15/05/2017,20:30,"TH, JS",R17,,,,4,,,
6IBY,,15/05/2017,20:30,"TH, JS",R17,,,,,,,
V9BY,,16/05/2017,08:02,"TH, JS",R5,26,,,2.5,,,is a juvenile with unringed parents
2CWR,,16/05/2017,08:02,"TH, JS",R5,40,,,4.5,,,
HHBB,,16/05/2017,08:02,"TH, JS",R5,40,,CKBB,5,4.5,,
CKBB,,16/05/2017,08:02,"TH, JS",R5,40,,HBBB,4.5,5,,
36BY,,16/05/2017,08:31,"TH, JS",R17,,,,4.5,,,
XCBY,,16/05/2017,08:31,"TH, JS",R17,,,,4,,,
CFBY,,16/05/2017,08:31,"TH, JS",R17,,,,5,,,
2NWR,,16/05/2017,,"TH, JS",G5,,,,,,,1 juvenile
2PWR,,16/05/2017,,"TH, JS",G5,,,,,,,1 juvenile
6BBY,,16/05/2017,09:34,"TH, JS",G3,10,,6FBY,5,,,
6FBY,,16/05/2017,09:34,"TH, JS",G3,10,,6BBY,,5,,
62WB,,16/05/2017,09:41,"TH, JS",G2,,,,5,,,
ZFWB,,16/05/2017,,"TH, JS",G2,,,,,,,
6ABY,,16/05/2017,,"TH, JS",G2,,,6JBY,3,,,
6JBY,,16/05/2017,,"TH, JS",G2,,,6ABY,,3,,
XSWR,,16/05/2017,09:59,"TH, JS",R1,20,,,5,,,2 juveniles
H3WR,,16/05/2017,11:09,"TH, JS",R6A,11,,,,,,
ICBY,,16/05/2017,11:09,"TH, JS",R6A,11,,unringed,5,,,
47BY,,16/05/2017,11:09,"TH, JS",R6A,11,,LABY,4,5,,
LABY,,16/05/2017,11:09,"TH, JS",R6A,11,,47BY,5,4,,
J-L-,,16/05/2017,,"TH, JS",R5,,,,,,,
9NBY,,16/05/2017,,"TH, JS",R5,,,,,,,
2JWR,,16/05/2017,,"TH, JS",R5,,,,,,,
VZWR,,16/05/2017,,"TH, JS",R5,,,unringed,4.5,,,
XXRR,,16/05/2017,14:33,"TH, JS",G2,8,,,4,,,
UBRY,,16/05/2017,14:33,"TH, JS",G2,8,,,,,,
CCRY,,16/05/2017,14:54,"TH, JS",R15,10,,FTBY,,,,
FTBY,,16/05/2017,14:54,"TH, JS",R15,10,,CCRY,,,,
H6BY,,16/05/2017,14:54,"TH, JS",R15,10,,,,,,
I3YY,,16/05/2017,14:54,"TH, JS",R15,10,,,,,,
IPRR,,16/05/2017,14:54,"TH, JS",R15,10,,unringed,5.5,,,
66BY,,16/05/2017,14:54,"TH, JS",R15,10,,unringed,5.5,,,
THLY,,16/05/2017,16:00,"TH, JS",R5,30,,unringed,5.5,,,5 juveniles 
P9BY,,16/05/2017,16:00,"TH, JS",R5,30,,J9BY,5,5,,1 juvenile = S9BY
J9BY,,16/05/2017,16:00,"TH, JS",R5,30,,P9BY,5,5,,1 juvenile = S9BY
S9BY,,16/05/2017,16:00,"TH, JS",R5,30,,,4,,,is a juvenile 
F3WR,,16/05/2017,16:00,"TH, JS",R5,28,,,,,,
ATBY,,16/05/2017,16:00,"TH, JS",R5,28,,,,,,
A9BY,,16/05/2017,16:00,"TH, JS",R5,28,,,,,,
HZBY,,16/05/2017,16:00,"TH, JS",R5,28,,VXBY,4.5,3.5,,
VXBY,,16/05/2017,16:00,"TH, JS",R5,28,,HZBY,3.5,4.5,,
CKBB,,16/05/2017,17:24,"TH, JS",R6B,,,HHBB,,,,
HHBB,,16/05/2017,17:24,"TH, JS",R6B,,,CKBB,,,,
2ZBY,,16/05/2017,17:24,"TH, JS",R6A,40,,2DBY,5.5,4.5,,
2DBY,,16/05/2017,17:24,"TH, JS",R6A,40,,2ZBY,4.5,5.5,,
2JWR,,16/05/2017,17:24,"TH, JS",R6A,40,,,,,,
63BY,,16/05/2017,17:24,"TH, JS",R6A,40,,,,,,
6DBY,,17/05/2017,07:45,"TH, JS",R1,,,6PBY,,,,
6PBY,,17/05/2017,07:45,"TH, JS",R1,,,6DBY,,,,
ZFBY,,17/05/2017,07:45,"TH, JS",R1,,,,4,,,
6LBY,,17/05/2017,07:45,"TH, JS",R1,,,,,,,
VFRY,,17/05/2017,07:45,"TH, JS",R1,,,,,,,
FKON,,17/05/2017,07:45,"TH, JS",R1,,,I9BY,4.5,4,,
I9BY,,17/05/2017,07:45,"TH, JS",R1,,,FKON,4,4.5,,
ZFWB,,17/05/2017,,"TH, JS",G3,,,,,,,
6ABY,,17/05/2017,,"TH, JS",G3,,,6JBY,,,,
6JBY,,17/05/2017,,"TH, JS",G3,,,6ABY,,,,
XXRR,,17/05/2017,,"TH, JS",G3,,,,,,,
7LRR,,17/05/2017,,"TH, JS",G3,,,,,,,
IHLY,,17/05/2017,08:16,"TH, JS",G7,2,,unringed,3,,,
mPmY,,17/05/2017,08:16,"TH, JS",G7,40,,,,,,
3FRB,,17/05/2017,08:16,"TH, JS",G7,40,,,,,,
ZPBY,,17/05/2017,08:16,"TH, JS",G7,40,,FNON,4.5,4.5,,
FNON,,17/05/2017,08:16,"TH, JS",G7,40,,ZPBY,4.5,4.5,,collared
#NAME?,,17/05/2017,08:16,"TH, JS",G7,40,,,,,,
77WB,,17/05/2017,08:16,"TH, JS",G7,40,,,,,,
43WB,,17/05/2017,08:35,"TH, JS",R6B,,,26WB,,,,
26WB,,17/05/2017,08:35,"TH, JS",R6B,,,43WB,,,,
#NAME?,,17/05/2017,08:35,"TH, JS",R6B,,,,3,,,
44WB,,17/05/2017,08:35,"TH, JS",R6B,,,32BY,,4.5,,
32BY,,17/05/2017,08:35,"TH, JS",R6B,,,44WB,4.5,,,
I3YY,,17/05/2017,08:35,"TH, JS",R6B,,,,,,,
ICBY,,17/05/2017,08:35,"TH, JS",R6B,,,,,,,
VZBY,,17/05/2017,08:35,"TH, JS",R6B,,,,,,,is a juvenile
9NBY,,17/05/2017,09:15,"TH, JS",R28,,,,,,,
IPRR,,17/05/2017,09:15,"TH, JS",R28,,,,5,,,
ATBY,,17/05/2017,09:15,"TH, JS",R28,,,unringed,,,,
2JBY,,17/05/2017,09:38,"TH, JS",R5,28,,unringed,,,,
4JBY,,17/05/2017,09:38,"TH, JS",R5,28,,4HBY,,,,2 juveniles
4HBY,,17/05/2017,09:38,"TH, JS",R5,28,,4JBY,,,,2 juveniles
VXBY,,17/05/2017,09:38,"TH, JS",R5,28,,HZBY,,,,
HZBY,,17/05/2017,09:38,"TH, JS",R5,28,,VXBY,,,,
B7BY,,17/05/2017,09:38,"TH, JS",R5,28,,,,,,is a juvenile
2CWR,,17/05/2017,09:38,"TH, JS",R5,28,,,,,,
H6BY,,17/05/2017,09:38,"TH, JS",R5,28,,,,,,is a juvenile
HHBB,,17/05/2017,09:38,"TH, JS",R5,28,,CKBB,,,,
CKBB,,17/05/2017,09:38,"TH, JS",R5,28,,HHBB,,,,
96WB,,17/05/2017,10:22,"TH, JS",R28,60,,2KWB,4.5,,,
2KWR,,17/05/2017,10:22,"TH, JS",R28,60,,96WB,,4.5,,
V9BY,,17/05/2017,10:22,"TH, JS",R28,60,,,,,,is a juvenile with unringed parent
9CBY,,17/05/2017,10:44,"TH, JS",,35,,7CBY,5.5,6,,
7CBY,,17/05/2017,10:44,"TH, JS",,35,,9CBY,6,5.5,,
X6WR,,17/05/2017,10:44,"TH, JS",,35,,unringed,6,,,2 juveniles
H6WR,,17/05/2017,10:44,"TH, JS",,35,,unringed,5,,,1 juvenile
ZTRY,,17/05/2017,11:03,"TH, JS",R1,220,,unringed,5.5,,,
66RY,,17/05/2017,11:03,"TH, JS",R1,220,,unringed,5,,,
9PBY,,17/05/2017,11:03,"TH, JS",R1,220,,unringed,5.5,,,
XVWR,,17/05/2017,11:03,"TH, JS",R1,220,,unringed,,,,2 juveniles
XXRR,,17/05/2017,11:59,"TH, JS",G2,10,,,,,,
2BWR,,17/05/2017,11:59,"TH, JS",G2,10,,unringed,3.5,,,
CCRY,,17/05/2017,14:43,"TH, JS",R17,14,,FTBY,,4.5,,
FTBY,,17/05/2017,14:43,"TH, JS",R17,14,,CCRY,4.5,,,
36BY,,17/05/2017,14:43,"TH, JS",R17,14,,unringed,4.5,,,1 juvenile
A7YY,,17/05/2017,14:43,"TH, JS",R17,14,,unringed,,,,
7ABY,,17/05/2017,14:50,"TH, JS",R5,56,,UHWB,,,,4 juveniles
D2LY,,17/05/2017,14:50,"TH, JS",R5,56,,unringed,5,,,2 juveniles
DKBY,,17/05/2017,14:50,"TH, JS",R5,56,,,,,,juvenile of 7ABY & UHWB
UHWB,,17/05/2017,14:50,"TH, JS",R5,56,,7ABY,,,,4 juveniles
43BY,,17/05/2017,14:50,"TH, JS",R5,56,,,,,,juvenile of 7ABY & UHWB
4UBY,,17/05/2017,14:50,"TH, JS",R5,56,,,4.5,,,
ICBY,,17/05/2017,14:50,"TH, JS",R5,56,,,,,,
2CWR,,17/05/2017,14:50,"TH, JS",R5,56,,,5,,,
ABBY,,17/05/2017,15:34,"TH, JS",R5,120,,,4,,,
mKmY,,17/05/2017,15:34,"TH, JS",R5,120,,unringed,4.5,,,
VXBY,,17/05/2017,15:34,"TH, JS",R5,120,,HZBY,4,5.5,,
HZBY,,17/05/2017,15:34,"TH, JS",R5,120,,VXBY,5.5,4,,
HHBB,,17/05/2017,15:34,"TH, JS",R5,120,,CKBB,,,,
CKBB,,17/05/2017,15:34,"TH, JS",R5,120,,HHBB,,,,
34WB,,17/05/2017,15:34,"TH, JS",R5,120,,,,,,
U9BY,,17/05/2017,16:13,"TH, JS",G2,15,,BSBY,,,,
BSBY,,17/05/2017,16:13,"TH, JS",G2,15,,U9BY,,,,
IZBY,,17/05/2017,16:13,"TH, JS",G2,15,,U2BY,3,4,,1 juvenile
U2BY,,17/05/2017,16:13,"TH, JS",G2,15,,IZBY,4,3,,1 juvenile
I9BY,,18/05/2017,10:13,"TH, JS",,20,,,,,,
FKON,,18/05/2017,10:13,"TH, JS",,20,,,,,,
DUBY,,18/05/2017,10:13,"TH, JS",,20,,,,,,
IUBY,,18/05/2017,10:13,"TH, JS",,20,,unringed,5.5,,,
CZBY,,18/05/2017,11:07,"TH, JS",R15,10,,XXBY,4.5,4,,
XXBY,,18/05/2017,11:07,"TH, JS",R15,10,,CZBY,4,4.5,,
AXBY,,18/05/2017,11:07,"TH, JS",R15,10,,2BDBO,5.5,6,,2 juveniles
2BDBO,,18/05/2017,11:07,"TH, JS",R15,10,,AXBY,6,5.5,,2 juveniles
ZHWR,,18/05/2017,12:13,"TH, JS",R28,19,,ZAWR,5.5,5,,4 juveniles
ZAWR,,18/05/2017,12:13,"TH, JS",R28,19,,ZHWR,5,5.5,,4 juveniles
2PWR,,18/05/2017,14:33,"TH, JS",G3,3,,2NWR,4.5,5,,1 juvenile
2NWR,,18/05/2017,14:33,"TH, JS",G3,3,,2PWR,5,4.5,,1 juvenile
4JBY,,18/05/2017,16:36,"TH, JS",R5,10,,AHBY,,,,2 juveniles
AHBY,,18/05/2017,16:36,"TH, JS",R5,10,,4JBY,,,,2 juveniles
BILY,,18/05/2017,16:51,"TH, JS",R1,23,,,4.5,,,
mPmY,,19/05/2017,08:17,"TH, JS",,4,,unringed,5.5,,,
XLWR,,19/05/2017,08:17,"TH, JS",,2,,X2WR,5,,,
X2WR,,19/05/2017,08:17,"TH, JS",,2,,XLWR,,5,,
77WB,,19/05/2017,08:53,"TH, JS",G4,10,,,,,,
U2BY,,19/05/2017,09:15,"TH, JS",G2,16,,IZBY,5,3.5,,1 juvenile
IZBY,,19/05/2017,09:15,"TH, JS",G2,16,,U2BY,3.5,5,,1 juvenile
47BY,,19/05/2017,10:18,"TH, JS",R6A,6,,LABY,4.5,6,,
LABY,,19/05/2017,10:18,"TH, JS",R6A,6,,47BY,6,4.5,,
Z9BY,,19/05/2017,16:00,"TH, JS",R6A,,,ZXBY,,6,,
ZXBY,,19/05/2017,16:00,"TH, JS",R6A,,,Z9BY,6,,,
I9BY,,19/05/2017,16:00,"TH, JS",R6A,,,FKON,5,5.5,,
FKON,,19/05/2017,16:00,"TH, JS",R6A,,,I9BY,5.5,5,,
2ZBY,,19/05/2017,16:00,"TH, JS",R6A,,,2DBY,6,6,,
2DBY,,19/05/2017,16:00,"TH, JS",R6A,,,2ZBY,6,6,,
ICBY,,19/05/2017,16:00,"TH, JS",R6A,,,unringed,,,,
JUBY,,19/05/2017,16:00,"TH, JS",R6A,,,FVBY,5.5,5,,
FVBY,,19/05/2017,16:00,"TH, JS",R6A,,,JUBY,5,5.5,,
26WB,,19/05/2017,16:00,"TH, JS",R6A,,,43WB,,,,
43WB,,19/05/2017,16:00,"TH, JS",R6A,,,26WB,,,,
ATBY,,19/05/2017,16:37,"TH, JS",R5,200,,unringed,5,,,
VXBY,,19/05/2017,16:37,"TH, JS",R5,200,,HZBY,5.5,,,
HZBY,,19/05/2017,16:37,"TH, JS",R5,200,,VXBY,,5.5,,
A9BY,,19/05/2017,16:37,"TH, JS",R5,200,,,,,,is a juvenile
D2LY,,19/05/2017,16:37,"TH, JS",R5,200,,,5,,,single
6DBY,,19/05/2017,17:25,"TH, JS",G6,,,6PBY,5,5.5,,
6PBY,,19/05/2017,17:25,"TH, JS",G6,,,6DBY,5.5,5,,
2BWR,,19/05/2017,17:25,"TH, JS",G6,,,unringed,5,,,
6ABY,,19/05/2017,17:45,"TH, JS",G2,8,,6JBY,4.5,,,
6JBY,,19/05/2017,17:45,"TH, JS",G2,8,,6ABY,,4.5,,
6HBY,,19/05/2017,17:45,"TH, JS",G2,8,,,,,,
L7BY,,19/05/2017,17:45,"TH, JS",G2,8,,,5,,,is a juvenile + unringed parents
mNmY,,19/05/2017,18:00,"TH, JS",R1,200,,,,,,
ZPBY,,19/05/2017,18:00,"TH, JS",R1,200,,FNON,,,,
FNON,,19/05/2017,18:00,"TH, JS",R1,200,,ZPBY,,,,collared
43WB,,19/05/2017,18:00,"TH, JS",R1,200,,26WB,6,4.5,,
26WB,,19/05/2017,18:00,"TH, JS",R1,200,,43WB,4.5,6,,
XLWR,,19/05/2017,18:00,"TH, JS",R1,200,,X2WR,5,6,,
X2WR,,19/05/2017,18:00,"TH, JS",R1,200,,XLWR,6,5,,
H6BY,,19/05/2017,18:00,"TH, JS",R1,200,,,4.5,,,is a juvenile
XSWR,,19/05/2017,18:00,"TH, JS",R1,200,,,,,,
UULY,,19/05/2017,18:00,"TH, JS",R1,200,,,5,,,
I7BY,,19/05/2017,18:00,"TH, JS",R1,200,,,4.5,,,is a juvenile
XVWR,,19/05/2017,18:00,"TH, JS",R1,200,,X-W-,4,,,2 juveniles
X-W-,,19/05/2017,18:00,"TH, JS",R1,200,,XVWR,,4,,2 juveniles
67ON,,19/05/2017,18:00,"TH, JS",R1,200,,K3BY,5,4.5,,collared
K3BY,,19/05/2017,18:00,"TH, JS",R1,200,,67ON,4.5,5,,
Z3RY,,19/05/2017,18:00,"TH, JS",R1,200,,,,,,
BBBB,,19/05/2017,18:00,"TH, JS",R1,200,,,,,,
UDRB,,19/05/2017,18:00,"TH, JS",R1,200,,unringed,,,,
7IBY,,19/05/2017,18:00,"TH, JS",R1,200,,unringed,,,,
ZFBY,,19/05/2017,18:00,"TH, JS",R1,200,,,,,,
CCRR,,19/05/2017,18:00,"TH, JS",R1,200,,,,,,
X6WR,,19/05/2017,18:00,"TH, JS",R1,200,,,,,,
LIRY,,19/05/2017,18:00,"TH, JS",R1,200,,unringed,5,,,
L9BY,,19/05/2017,18:00,"TH, JS",R1,200,,,,,,
I3YY,,19/05/2017,,"TH, JS",R15,20,,,6,,,
2JWR,,20/05/2017,07:50,"TH, JS",R6B,22,,unringed,6.5,,,
37BY,,20/05/2017,07:50,"TH, JS",R6B,20,,ZABY,,,,
ZABY,,20/05/2017,07:50,"TH, JS",R6B,20,,37BY,,,,
V7BY,,20/05/2017,07:50,"TH, JS",R6B,20,,,4,,,is a juvenile
F3WR,,20/05/2017,07:50,"TH, JS",R6B,20,,unringed,5,,,
D3LY,,20/05/2017,07:50,"TH, JS",R6B,20,,unringed,4.5,,,
32WB,,20/05/2017,07:50,"TH, JS",R6B,20,,,,,,
4UBY,,20/05/2017,07:50,"TH, JS",R6B,20,,unringed,,,,
D2LY,,20/05/2017,08:43,"TH, JS",R6A,21,,unringed,5,,,
B7BY,,20/05/2017,08:43,"TH, JS",R6A,21,,,4.5,,,is a juvenile with 1 parent
XXBY,,20/05/2017,08:43,"TH, JS",R6A,21,,CZBY,,,,
CZBY,,20/05/2017,08:43,"TH, JS",R6A,21,,XXBY,,,,
26WB,,20/05/2017,08:43,"TH, JS",R6A,21,,43WB,4.5,,,
43WB,,20/05/2017,08:43,"TH, JS",R6A,21,,26WB,,4.5,,
2BDBO,,20/05/2017,09:49,"TH, JS",R28,,,AXBY,,,,1 juvenile?
AXBY,,20/05/2017,09:49,"TH, JS",R28,,,2BDBO,,,,1 juvenile?
ZPBY,,20/05/2017,10:05,"TH, JS",G4,9,,FNON,5,6,,
FNON,,20/05/2017,10:05,"TH, JS",G4,9,,ZPBY,6,5,,collared
2PWR,,20/05/2017,10:05,"TH, JS",G3,,,2NWR,,,,1 juvenile
2NWR,,20/05/2017,10:05,"TH, JS",G3,,,2PWR,,,,1 juvenile
UULY,,20/05/2017,10:05,"TH, JS",G3,,,,,,,
94WB,,20/05/2017,10:05,"TH, JS",G3,,,,,,,
ZFWB,,20/05/2017,10:15,"TH, JS",G2,10,,unringed,5.5,,,1 juvenile
NDRB,,20/05/2017,10:15,"TH, JS",G2,10,,TSRB,6,4.5,,5 juveniles
TSRB,,20/05/2017,10:15,"TH, JS",G2,10,,NDRB,4.5,6,,5 juveniles
XXRR,,20/05/2017,11:08,"TH, JS",G2,48,,unringed,4.5,,,
6HBY,,20/05/2017,11:08,"TH, JS",G2,48,,6NBY,,,,
6NBY,,20/05/2017,11:08,"TH, JS",G2,48,,6HBY,,,,
6ABY,,20/05/2017,11:08,"TH, JS",G2,48,,6JBY,4.5,5.5,,
6JBY,,20/05/2017,11:08,"TH, JS",G2,48,,6ABY,5.5,4.5,,
ZTRY,,20/05/2017,11:08,"TH, JS",G2,48,,unringed,,,,
FKON,,20/05/2017,15:34,"TH, JS",R6A,70,,I9BY,5.5,5.5,,
I9BY,,20/05/2017,15:34,"TH, JS",R6A,70,,FKON,5.5,5.5,,
FVBY,,20/05/2017,15:34,"TH, JS",R6A,70,,JUBY,5,5.5,,
JUBY,,20/05/2017,15:34,"TH, JS",R6A,70,,FVBY,5.5,5,,
H3WR,,20/05/2017,15:34,"TH, JS",R6A,70,,,5.5,,,
IBBY,,20/05/2017,15:34,"TH, JS",R6A,70,,SBBY,,,,
SBBY,,20/05/2017,15:34,"TH, JS",R6A,70,,IBBY,,,,
FPRR,,20/05/2017,15:34,"TH, JS",R6A,70,,,6.5,,,
26WB,,20/05/2017,15:34,"TH, JS",R6A,70,,43WB,,,,
43WB,,20/05/2017,15:34,"TH, JS",R6A,70,,26WB,,,,
ATBY,,20/05/2017,15:34,"TH, JS",R6A,70,,,6,,,
IUBY,,20/05/2017,15:34,"TH, JS",R6A,70,,,,,,
2NWR,,20/05/2017,18:56,"TH, JS",R1,200,,2PWR,6.5,5.5,,1 juvenile
2PWR,,20/05/2017,18:56,"TH, JS",R1,200,,2NWR,5.5,6.5,,1 juvenile
UBRY,,20/05/2017,19:26,"TH, JS",G2,15,,,5,,,
HZBY,,20/05/2017,19:56,"TH, JS",R5,30,,VXBY,6,5,,1 juvenile
VXBY,,20/05/2017,19:56,"TH, JS",R5,30,,HZBY,5,6,,1 juvenile
2PRY,,20/05/2017,20:19,"TH, JS",R15,14,,,,,,
XXBY,,20/05/2017,20:19,"TH, JS",R15,14,,,,,,
67BY,,20/05/2017,20:19,"TH, JS",R15,14,,77BY,6,7,,
77BY,,20/05/2017,20:19,"TH, JS",R15,14,,67BY,7,6,,
ZAWR,,21/05/2017,07:00,"TH, JS",R28,70,,ZHWR,5,,,
ZHWR,,21/05/2017,07:00,"TH, JS",R28,70,,ZAWR,,5,,
ATBY,,21/05/2017,07:00,"TH, JS",R28,70,,,,,,
mKmY,,21/05/2017,07:00,"TH, JS",R28,70,,,5,,,
UCBY,,21/05/2017,07:00,"TH, JS",R28,70,,IDBY,6.5,,,
IDBY,,21/05/2017,07:00,"TH, JS",R28,70,,UCBY,6.5,,,
2PRY,,21/05/2017,07:00,"TH, JS",R28,70,,unringed,6,,,
9VBY,,21/05/2017,07:00,"TH, JS",R28,70,,,,,,
KALY,,21/05/2017,08:06,"TH, JS",G6,,,,,,,
9PBY,,21/05/2017,08:06,"TH, JS",G6,,,,,,,
67ON,,21/05/2017,08:06,"TH, JS",G6,,,K3BY,,,,
K3BY,,21/05/2017,08:06,"TH, JS",G6,,,67ON,,,,
72WB,,21/05/2017,08:06,"TH, JS",G6,,,,5,,,
XPWR,,21/05/2017,08:06,"TH, JS",G6,,,,,,,
XSWR,,21/05/2017,08:06,"TH, JS",G6,,,,,,,
3IRR,,21/05/2017,08:06,"TH, JS",G6,,,,,,,
2NWR,,21/05/2017,08:06,"TH, JS",G6,,,2PWR,,,,1 juvenile
2PWR,,21/05/2017,08:06,"TH, JS",G6,,,2NWR,,,,1 juvenile
BBBB,,21/05/2017,08:06,"TH, JS",G6,,,,6,,,
6ABY,,21/05/2017,08:15,"TH, JS",G2,12,,6JBY,4.5,5.5,,
6JBY,,21/05/2017,08:15,"TH, JS",G2,12,,6ABY,5.5,4.5,,
UBRY,,21/05/2017,08:15,"TH, JS",G2,24,,unringed,5,,,
S6YY,,22/05/2017,,"TH, JS",R6A,,,unringed,,,,1 juvenile
CTBY,,22/05/2017,,"TH, JS",R6A,,,JTBY,5,5.5,,
