"7CBY-SWAB" "9CBY-SWAB" "G001" "G002" "G003" "G004" "G005" "G006" "G007" "G008" "G009" "G010" "G011" "G012" "G013" "G014" "G015" "G016" "G017" "G018" "G019" "G020" "G021" "G022" "G023" "G024" "G025" "G026" "G027" "G028" "G029" "G030" "G031" "G032" "G033" "G034" "G035" "G036" "G037" "G038" "G039" "G040" "G041" "G042" "G043" "G044" "G045" "G046" "G047" "G048" "G049" "G050" "G051" "G052" "G053" "G054" "G055" "G056" "G057" "G058" "G059" "G060" "G061" "G062" "G063" "G064" "G065" "G066" "G067" "G068" "G069" "G070" "G071" "G072" "G073" "G074" "G075" "G076" "G077" "G078" "G079" "G080" "G081" "G082" "G083" "G084" "G085" "G086" "G087" "G088" "G089" "G090" "G091" "G092" "G093" "G094" "G095" "G096" "G097" "G098" "G099" "G100" "G101" "G102" "G103" "G104" "G105" "G106" "G107" "G108" "G109" "G110" "G111" "G112" "G113" "G114" "G115" "G116" "G117" "G118" "G119" "G120" "G121" "G122" "G123" "G124" "G125" "G126" "G127" "G128" "G129" "G130" "G131" "G132" "G133" "G134" "G135" "G136" "G137" "G138" "G139" "G140" "G141" "G142" "G143" "G144" "G145" "G47BY-SWAB" "G67BY-SWAB" "LABY-SWAB" "MC1" "MC2" "NEG1" "NEG2" "NEG3" "TFBY-SWAB" "XCBY-SWAB" "ZABY-SWAB"
"SV11" 121 0 0 0 2209 0 0 96 0 126 0 0 0 0 35 0 0 0 465 85 0 1769 0 0 0 453 0 31 0 0 0 148 68 407 460 0 1567 0 435 0 0 0 0 107 7240 0 0 46 0 437 0 1202 0 175 276 0 2490 131 0 0 0 177 0 0 0 0 0 0 2097 65 0 39 134 92 0 0 29507 0 0 0 52 0 3515 329 1507 645 0 0 1135 0 0 0 0 0 0 709 0 0 0 0 0 0 0 0 0 0 1182 538 197 0 0 0 0 3800 1047 0 0 274 0 0 0 0 0 3264 0 8446 457 0 0 0 0 318 1196 0 0 37 0 368 0 0 0 0 59 0 177 710 0 0 0 0 0 0 0 0 0 0 29 0
"SV12" 0 0 168 0 12 0 0 0 0 0 1359 20 0 0 0 0 0 17 0 0 97 26 0 0 0 0 0 0 23 0 0 10 0 11 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 2821 18 0 0 94 0 20 0 40 16 0 0 23 0 9936 0 0 16 16 0 20 21 693 9 0 99 22 0 0 0 117 124 0 31 17 0 0 274 19 0 0 0 0 0 0 139 15948 45380 0 24 0 0 0 0 77 50 12 330 9 11 0 17 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 0 133 1254 1045 0 0 0 16 0 43 698 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SV13" 0 0 0 0 0 0 0 0 0 0 0 22 0 187 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 74976 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4113 0 0 0 0 0 0 0 0 0 0 0
"SV14" 0 0 0 34837 84 25 617 0 64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 690 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 48 44 0 0 0 0 583 2 0 0 27 37 15 0 0 0 0 24 0 0 791 1708 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 65 0 3663 51 0 0 0 0 0 0 0 0 0 0 0 0 0 35 100 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 30884 0 0 5 0 0 0 0 0 678 264 0
"SV15" 0 0 0 0 0 0 0 0 45 0 0 0 0 0 9 8 145 0 9 15 0 12 0 0 0 0 9 0 7 173 0 0 18399 34 0 0 26 423 16 0 0 25 0 273 44 7 15 0 0 0 0 0 0 10728 49 5 0 45 0 10 45 0 0 289 23 25 118 0 0 0 770 0 207 0 0 110 0 0 4 0 614 8 21 9862 0 0 0 0 0 0 0 0 23 0 0 12 959 0 102 0 0 20 0 0 0 0 0 0 5 0 26 205 5 18 0 0 16 0 0 9954 437 327 16 0 50 365 0 16629 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 148 0 0 0 0 0 0 0 0 0 0 0 0 0
"SV16" 848 4428 0 0 0 0 0 0 21 0 0 0 12 35 0 0 0 0 0 9 0 0 13 0 0 0 0 2 0 0 0 0 7 0 0 0 6 0 2 5 27 9 0 21 0 5 0 24 0 8 16 0 0 6 18 0 32 0 0 0 0 52 0 0 0 0 0 10 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 123 35 0 0 0 0 0 0 9 16 3 0 0 5 0 0 0 4 16 0 11 13 0 21 5 0 8 0 5 0 0 0 45 20 0 0 0 0 0 5 0 0 0 0 0 0 0 0 11 0 0 0 0 0 61 5932 10862 315 0 0 0 0 0 44495 2194 719
"SV17" 0 0 3562 0 433 80 532 10 144 1037 606 1136 1845 0 5 595 544 90 121 1364 51 1284 31 209 579 59 0 43 1257 12 23 559 92 66 41 125 607 653 174 0 0 0 755 6203 20 36 811 382 127 48 1359 8 0 0 118 34 0 98 889 83 0 1039 6255 40 54 8135 3367 676 102 82 127 558 56 1757 143 34 9 229 68 29 2319 255 1095 242 339 131 0 751 14 891 92 104 25 0 0 238 1427 108 18 90 0 0 0 0 143 192 1591 30 7 99 60 0 9 287 159 28 17 319 0 11 8 0 390 0 13 110 196 0 29 2664 324 557 69 78 23 0 32 13 0 59 28 24 23 59 0 42 0 0 0 0 0 0 0 0 0 0 0 0
"SV18" 0 0 112 0 32 54 1078 14 52 164 368 60 19 0 31 117 30 14 54 118 18 131 1668 16 461 0 173 121 174 531 187 90 34 46 239 4885 177 568 192 756 3033 239 299 177 42 0 82 1687 70 51 244 0 0 25 3200 112 17 11 0 57 5710 269 1505 17 334 739 91 156 67 85 97 322 11 51 0 4686 22 0 32 236 0 43 40 50 114 0 7 444 22 0 6 1919 323 0 321 151 108 17 4 2597 742 2156 280 41 84 274 30 99 95 125 77 16 10 178 19 179 4835 626 25 23 4422 512 391 6 1410 12 106 23 97 118 130 263 39 20 70 0 105 54 16 187 74 118 30 75 26 105 48 0 0 0 0 0 0 0 0 0 0 0
"SV19" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1886 51 0 0 4 0 0 0 3222 0 0 0 70 0 0 12 35842 237 0 0 0 0 0 0 0 2533 73 4608 2 14 2 0 0 0 0 0 0 0 0 0 1068 0 0 0 0 0 264 0 0 0 0 102 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 3 0 15 18 40 0 0 0 0 0 2482 367 318 29 0 38 0 6351 0 0 0 0 0 0 0 1201 0 0 0 79 0 11 5 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SV20" 4566 67 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 88 34 2203 0 0 0 0 0 0 0 52951
